Names	experiment Cy3	experiment Cy5
GSE42217/GSM1035723_8039_raw.txt.gz	wt	ref
GSE42217/GSM1035722_8028_raw.txt.gz	wt	ref
GSE42217/GSM1035721_8033_raw.txt.gz	ref	wt
GSE42217/GSM1035720_8027_raw.txt.gz	wt	ref
GSE42217/GSM1035729_7616_raw.txt.gz	wt	ref
GSE42217/GSM1035728_7615_raw.txt.gz	ref	wt
GSE42217/GSM1035741_7567_raw.txt.gz	ref	wt
GSE42217/GSM1035740_7561_raw.txt.gz	wt	ref
GSE42217/GSM1035743_7621_raw.txt.gz	wt	ref
GSE42217/GSM1035742_7627_raw.txt.gz	ref	wt
GSE42217/GSM1035745_7657_raw.txt.gz	wt	ref
GSE42217/GSM1035718_7113_raw.txt.gz	wt	ref
GSE42217/GSM1035747_8352_raw.txt.gz	ref	wt
GSE42217/GSM1035746_8357_raw.txt.gz	wt	ref
GSE42217/GSM1035749_8297_raw.txt.gz	ref	wt
GSE42217/GSM1035748_8298_raw.txt.gz	wt	ref
GSE42217/GSM1035719_7119_raw.txt.gz	ref	wt
GSE42217/GSM1035612_6148_raw.txt.gz	wt	ref
GSE42217/GSM1035619_6693_raw.txt.gz	wt	ref
GSE42217/GSM1035618_6268_raw.txt.gz	ref	wt
GSE42217/GSM1035710_6457_raw.txt.gz	wt	ref
GSE42217/GSM1035613_6160_raw.txt.gz	ref	wt
GSE42217/GSM1035599_6352_raw.txt.gz	wt	ref
GSE42217/GSM1035611_6850_raw.txt.gz	ref	wt
GSE42217/GSM1035610_6836_raw.txt.gz	wt	ref
GSE42217/GSM1035617_6258_raw.txt.gz	wt	ref
GSE42217/GSM1035616_6747_raw.txt.gz	ref	wt
GSE42217/GSM1035615_6683_raw.txt.gz	ref	wt
GSE42217/GSM1035614_6678_raw.txt.gz	wt	ref
